Client,Age,Tenure,M,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL,VolumeCred,VolumeCred_CA,TransactionsCred,TransactionsCred_CA,VolumeDeb,VolumeDeb_CA,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDeb_CA,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder,Sale_MF,Sale_CC,Sale_CL,Revenue_MF,Revenue_CC,Revenue_CL,Actbal_CA_avg,ActBal_SA_avg,ActBal_MF_avg,ActBal_OVD_avg,ActBal_CC_avg,ActBal_CL_avg
1017,57.0,145,1.0,1,0.0,0.0,0.0,0.0,0.0,903.6382143,0.0,0.0,0.0,0.0,0.0,0.005,0.005,1,1,118.04642859999998,118.04642859999998,25.0,91.79642857,0.0,12,12,2,9,0,0.0,0.0,0.0,0.0,0.0,0.0,903.6382143,0.0,0.0,0.0,0.0,0.0
1456,61.0,149,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.77214289999995,364.7528571,4,3,774.98,774.98,14.28571429,497.44428569999997,258.6071429,28,28,1,20,5,0.0,1.0,0.0,0.0,3.607142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
545,20.0,151,1.0,1,1.0,0.0,0.0,0.0,0.0,3852.0539289999997,37045.965710000004,0.0,0.0,0.0,0.0,2471.719286,2471.719286,14,14,2190.257143,2190.257143,303.57142860000005,179.0821429,1229.4285710000001,23,23,3,5,12,,,,,,,3852.0539289999997,37045.965710000004,0.0,0.0,0.0,0.0
667,48.0,143,1.0,1,0.0,0.0,0.0,0.0,0.0,60.04428571,0.0,0.0,0.0,0.0,0.0,1127.7928570000001,1127.7928570000001,4,4,1344.603571,1344.603571,642.8571429,194.28571430000002,249.3214286,21,21,3,4,8,,,,,,,60.04428571,0.0,0.0,0.0,0.0,0.0
1381,38.0,135,1.0,1,0.0,0.0,0.0,0.0,0.0,144.87142859999997,0.0,0.0,0.0,0.0,0.0,571.6182143,571.6182143,3,3,57.07142857,57.07142857,10.71428571,46.35714286,0.0,6,6,1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,144.87142859999997,0.0,0.0,0.0,0.0,0.0
1360,28.0,212,1.0,1,0.0,0.0,0.0,1.0,0.0,649.8921429,0.0,0.0,0.0,38.78571429,0.0,1.475357143,0.03571428571,4,1,113.75,112.32142859999999,0.0,0.0,108.0,7,5,0,0,3,,,,,,,649.8921429,0.0,0.0,0.0,38.78571429,0.0
267,73.0,36,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648.7796429,648.7796429,2,2,199.81071430000003,199.81071430000003,35.71428571,130.8464286,31.5,12,12,1,7,2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
284,66.0,23,1.0,1,0.0,0.0,0.0,0.0,0.0,2505.563571,0.0,0.0,0.0,0.0,0.0,1650.641786,1650.641786,2,2,1661.7675,1661.7675,175.0,547.9825,597.5714286,20,20,1,9,7,0.0,1.0,1.0,0.0,0.8932142856999999,14.98821429,2505.563571,0.0,0.0,0.0,0.0,0.0
1420,46.0,86,1.0,1,0.0,0.0,0.0,0.0,0.0,272.3878571,0.0,0.0,0.0,0.0,0.0,1075.023214,1075.023214,2,2,620.3746428999999,620.3746428999999,0.0,0.0,616.9817857,7,7,0,0,6,,,,,,,272.3878571,0.0,0.0,0.0,0.0,0.0
1024,65.0,13,1.0,1,0.0,0.0,0.0,0.0,0.0,193.04,0.0,0.0,0.0,0.0,0.0,178.5796429,178.5796429,2,2,109.1071429,109.1071429,107.1428571,0.0,0.0,3,3,2,0,0,,,,,,,193.04,0.0,0.0,0.0,0.0,0.0
